Source,Target,Weight
27,7,0.00117906188
27,25,0.0186902784
27,24,0.0160022844
27,21,0.000729568794
27,6,0.0151002359
27,19,0.0191423141
27,13,0.00604722611
27,17,0.0118044791
27,18,0.000172925319
27,29,0.0012441703
27,23,0.00417881565
27,11,0.00022197802
27,5,0.0252211202
27,8,0.0044456604
27,30,0.0417012233
27,16,0.0135839135
27,15,0.00434417932
27,9,0.000317536247
27,3,0.0059810696
27,22,0.0212933466
27,1,0.00411389353
27,14,0.00270276969
27,28,0.046936183
27,26,0.0131692307
27,12,6.81e-05
27,4,0.0359806846
27,2,0.031826525
27,10,0.0232312968
28,20,0.0115252889
28,7,0.00661375587
28,25,0.000433419949
28,24,0.000161786621
28,21,1.87e-07
28,6,0.00316448063
28,19,0.000955122208
28,13,0.00732798193
28,17,0.00125907919
28,18,0.000102209077
28,29,0.00257207416
28,23,0.00465800066
28,11,0.00167052009
28,5,0.000518605013
28,8,4.95e-06
28,30,0.00461858875
28,16,0.00213292251
28,15,0.00028025756
28,9,0.0209588069
28,3,0.00604549014
28,22,0.0146176468
28,1,0.00681886516
28,14,0.00919317737
28,27,0.00548767654
28,26,0.0058285892
28,12,0.0129386908
28,4,0.0164524181
28,2,0.00824792071
28,10,0.0204662847
26,20,0.0521594333
26,7,0.00857430943
26,25,0.0062337513
